序号,市级指导部门,实施清单名称,,实施编码,事项类型,备注
95,东莞市水务局,对城市新建、改建、扩建的建设项目未按照规定配套建设排水设施行为的处罚,"《广东省实施<中华人民共和国水法>办法》第三十九条城市新建、改建、扩建的建设项目应当按照城市防洪排涝要求，配套建设排水设施，并采取渗透路面、下凹式绿地、扩大水域和湿地面积、雨污分流、地表径流控制和雨水综合利用等措施，使建设后的地表径流量不超过建设前的地表径流量。
《广东省实施<中华人民共和国水法>办法》第五十九条 违反本办法第三十九条规定，城市新建、改建、扩建的建设项目未按照规定配套建设排水设施的，由城市排水主管部门责令停止违法行为，限期采取补救措施，处一万元以上五万元以下罚款",11441900007330248L3440216053000,行政处罚,
96,东莞市水务局,对在水库的管理和保护范围内从事开矿、采石、取土、陡坡开荒以及擅自敷设管道等破坏水安全活动行为的处罚,"《广东省实施<中华人民共和国水法>办法》第四十条 在水库的管理和保护范围内，不得从事开矿、采石、取土、陡坡开荒以及擅自敷设管道等破坏水安全的活动。
在有供水功能水库的管理和保护范围内，不得从事网箱养殖、开办畜禽养殖场等污染水质的活动。
县级以上人民政府应当加强江河两岸及水库集水区域生态公益林建设，严格控制采伐，任何单位和个人不得采用炼山或者全垦方式更新造林，不得栽种桉树等不利于水源涵养和保护的树种。
《广东省实施<中华人民共和国水法>办法》第六十条 违反本办法第四十条第一款规定，在水库的管理和保护范围内从事开矿、采石、取土、陡坡开荒以及擅自敷设管道等破坏水安全的活动的，或者违反本办法第四十条第二款规定，在有供水功能水库的管理和保护范围内从事网箱养殖、开办畜禽养殖场等污染水质的活动的，由县级以上人民政府水行政主管部门责令停止违法行为，采取补救措施，处一万元以上五万元以下罚款。
违反本办法第四十条第三款规定，采用炼山或者全垦方式更新造林以及栽种桉树等不利于水源涵养和保护的树种的，由县级以上人民政府林业、水行政主管部门依照职权，责令其限期改正，对单位处五千元以上五万元以下罚款，对个人处五百元以上五千元以下罚款。",11441900007330248L3440216054000,行政处罚,
97,东莞市水务局,对在有供水功能水库的管理和保护范围内从事网箱养殖、开办畜禽养殖场等污染水质行为的处罚,"《广东省实施<中华人民共和国水法>办法》第四十条 在水库的管理和保护范围内，不得从事开矿、采石、取土、陡坡开荒以及擅自敷设管道等破坏水安全的活动。
在有供水功能水库的管理和保护范围内，不得从事网箱养殖、开办畜禽养殖场等污染水质的活动。
县级以上人民政府应当加强江河两岸及水库集水区域生态公益林建设，严格控制采伐，任何单位和个人不得采用炼山或者全垦方式更新造林，不得栽种桉树等不利于水源涵养和保护的树种。
《广东省实施<中华人民共和国水法>办法》第六十条 违反本办法第四十条第一款规定，在水库的管理和保护范围内从事开矿、采石、取土、陡坡开荒以及擅自敷设管道等破坏水安全的活动的，或者违反本办法第四十条第二款规定，在有供水功能水库的管理和保护范围内从事网箱养殖、开办畜禽养殖场等污染水质的活动的，由县级以上人民政府水行政主管部门责令停止违法行为，采取补救措施，处一万元以上五万元以下罚款。
违反本办法第四十条第三款规定，采用炼山或者全垦方式更新造林以及栽种桉树等不利于水源涵养和保护的树种的，由县级以上人民政府林业、水行政主管部门依照职权，责令其限期改正，对单位处五千元以上五万元以下罚款，对个人处五百元以上五千元以下罚款。",11441900007330248L3440216055000,行政处罚,
98,东莞市水务局,对单位和个人采用炼山或者全垦方式更新造林，载种桉树等不利于水源涵养和保护的树种行为的处罚,"《广东省实施<中华人民共和国水法>办法》第四十条 在水库的管理和保护范围内，不得从事开矿、采石、取土、陡坡开荒以及擅自敷设管道等破坏水安全的活动。
在有供水功能水库的管理和保护范围内，不得从事网箱养殖、开办畜禽养殖场等污染水质的活动。
县级以上人民政府应当加强江河两岸及水库集水区域生态公益林建设，严格控制采伐，任何单位和个人不得采用炼山或者全垦方式更新造林，不得栽种桉树等不利于水源涵养和保护的树种。
《广东省实施<中华人民共和国水法>办法》第六十条 违反本办法第四十条第一款规定，在水库的管理和保护范围内从事开矿、采石、取土、陡坡开荒以及擅自敷设管道等破坏水安全的活动的，或者违反本办法第四十条第二款规定，在有供水功能水库的管理和保护范围内从事网箱养殖、开办畜禽养殖场等污染水质的活动的，由县级以上人民政府水行政主管部门责令停止违法行为，采取补救措施，处一万元以上五万元以下罚款。
违反本办法第四十条第三款规定，采用炼山或者全垦方式更新造林以及栽种桉树等不利于水源涵养和保护的树种的，由县级以上人民政府林业、水行政主管部门依照职权，责令其限期改正，对单位处五千元以上五万元以下罚款，对个人处五百元以上五千元以下罚款。",11441900007330248L3440216056000,行政处罚,
99,东莞市水务局,对围库筑塘的行为的处罚,"《广东省实施<中华人民共和国水法>办法》第四十二条 禁止围湖造地、围垦河道、围库筑塘。
河道管理范围内的水域、沙洲、滩地和行洪区属于河道行洪通道，不作为基本农田保护区，不得建设阻碍行洪的建筑物、构筑物。
河道管理范围内的建筑物、构筑物及其附属设施，其所有人、管理人应当加强管理，保障使用安全。
《广东省实施<中华人民共和国水法>办法》第六十一条 违反本办法第四十二条第一款规定，围库筑塘的，由县级以上人民政府水行政主管部门责令停止违法行为，限期清除障碍或者采取其他补救措施，处一万元以上五万元以下的罚款。",11441900007330248L3440216057000,行政处罚,
100,东莞市水务局,对未申请办理延期手续而开工建设的行为处罚,"《广东省实施<中华人民共和国水法>办法》第四十三条 在河道管理范围内新建、扩建、改建跨河、穿河、穿堤、临河的桥梁、码头、道路、涵闸、渡口、管道、缆线、取水、排水等工程设施，应当符合国家和省规定的防洪标准以及其他有关技术要求，建设单位应当将工程建设方案报有管辖权的水行政主管部门审查同意。
经批准的建设项目，自批准之日起三年内未开工建设的，应当在期限届满前三十日内向有管辖权的水行政主管部门申请办理延期手续。
县级以上人民政府水行政主管部门在审查工程建设方案时，应当征求利害关系人意见；涉及公众利益的，应当采取听证会、论证会等方式，广泛听取公众意见。
《广东省实施<中华人民共和国水法>办法》第六十二条 违反本办法第四十三条、第四十四条规定，有下列行为之一的，由县级以上人民政府水行政主管部门责令停止违法行为，限期补办有关手续；逾期不补办或者补办未被批准的，责令限期拆除违法建筑物、构筑物；逾期不拆除的，由县级以上人民政府水行政主管部门依法强制拆除，所需费用由违法行为单位和个人承担，并处二万元以上十万元以下罚款：
（一）未经批准在河道管理范围内新建、改建、扩建工程设施的；
（二）未申请办理延期手续而开工建设的；
（三）未经批准或者未办理延期手续建设临时设施、堆放物品以及临时占用期满后不恢复原状的。",11441900007330248L3440216058000,行政处罚,
101,东莞市水务局,对不具备相应资质的单位从事水利工程建设监理行为的处罚,"《广东省水利工程管理条例》第五条 兴建水利工程项目应当严格按照建设程序，履行规定的审批手续，实行项目法人责任制、招标投标制和建设监理制。新建、扩建和改建水利工程，其勘测、设计、施工、监理应当由具有相应资质的单位承担，按照分级管理的原则，接受水行政主管部门对工程质量的监督。
将水利工程发包给不具备相应资质单位的，其签订的承包、发包合同无效，并责令工程发包人限期重新组织招标和投标。
水利工程勘测、设计、施工、监理单位的资质按照国家的有关规定认定。
《广东省水利工程管理条例》第二十九条 违反本条例第五条的规定，将水利工程发包给不具备相应资质等级的勘察、设计、施工单位或者委托给不具有相应资质等级的工程监理单位的，以及不具备相应资质的单位从事水利工程勘测、设计、施工、监理的，由建设行政主管部门或者其他有关部门依法予以处罚。",11441900007330248L3440216059000,行政处罚,
102,东莞市水务局,对将水利工程建设监理发包给不具备相应资质单位行为的处罚,"《广东省水利工程管理条例》第五条 兴建水利工程项目应当严格按照建设程序，履行规定的审批手续，实行项目法人责任制、招标投标制和建设监理制。新建、扩建和改建水利工程，其勘测、设计、施工、监理应当由具有相应资质的单位承担，按照分级管理的原则，接受水行政主管部门对工程质量的监督。
将水利工程发包给不具备相应资质单位的，其签订的承包、发包合同无效，并责令工程发包人限期重新组织招标和投标。
水利工程勘测、设计、施工、监理单位的资质按照国家的有关规定认定。
《广东省水利工程管理条例》第二十九条 违反本条例第五条的规定，将水利工程发包给不具备相应资质等级的勘察、设计、施工单位或者委托给不具有相应资质等级的工程监理单位的，以及不具备相应资质的单位从事水利工程勘测、设计、施工、监理的，由建设行政主管部门或者其他有关部门依法予以处罚。",11441900007330248L3440216060000,行政处罚,
103,东莞市水务局,对将未经验收合格的水利工程投入使用行为的处罚,"《广东省水利工程管理条例》第六条 未经验收合格的水利工程不得交付使用。
《广东省水利工程管理条例》第三十条 违反本条例第六条的规定，将未经验收合格的水利工程投入使用的，责令改正，处工程合同价款百分之二以上百分之四以下的罚款；造成损失的，依法承担赔偿责任。
因建设工程不合格或有缺陷而造成人身或财产损害的，原建设单位应当承担赔偿责任。",11441900007330248L3440216061000,行政处罚,
104,东莞市水务局,对在水利工程管理范围内围库造地行为的处罚,"《广东省水利工程管理条例》第二十二条 在水利工程管理范围内禁止下列行为：
（一）兴建影响水利工程安全与正常运行的建筑物和其他设施；
（二）围库造地；
（三）爆破、打井、采石、取土、挖矿、葬坟以及在输水渠道或管道上决口、阻水、挖洞等危害水利工程安全的活动；
（四）倾倒土、石、矿渣、垃圾等废弃物；
（五）在江河、水库水域内炸鱼、毒鱼、电鱼和排放污染物；
（六）损毁、破坏水利工程设施及其附属设施和设备；
（七）在坝顶、堤顶、闸坝交通桥行驶履带拖拉机、硬轮车及超重车辆，在没有路面的坝顶、堤顶雨后行驶机动车辆；
（八）在堤坝、渠道上垦植、铲草、破坏或砍伐防护林；
（九）其他有碍水利工程安全运行的行为。
《广东省水利工程管理条例》第三十二条 违反本条例第二十一条、第二十二条第一、二项、第二十七条、第二十八条的规定，未经水行政主管部门批准或者同意，擅自在水利工程管理范围和保护范围内修建工程设施、从事生产经营活动或者兴建可能污染水库水体的生产经营设施的，责令其停止违法行为，限期拆除违法建筑物或者工程设施，可处一万元以上十万元以下的罚款。",11441900007330248L3440216062000,行政处罚,
105,东莞市水务局,对未经水行政主管部门批准或者同意，擅自在水利工程管理范围和保护范围内修建工程设施、兴建旅游设施或其他可能污染水库水体的生产经营设施行为的处罚,"《中华人民共和国水法》第三十四条  禁止在饮用水水源保护区内设置排污口。
    在江河、湖泊新建、改建或者扩大排污口，应当经过有管辖权的水行政主管部门或者流域管理机构同意，由环境保护行政主管部门负责对该建设项目的环境影响报告书进行审批。
 《中华人民共和国水法》第六十七条  在饮用水水源保护区内设置排污口的，由县级以上地方人民政府责令限期拆除、恢复原状；逾期不拆除、不恢复原状的，强行拆除、恢复原状，并处五万元以上十万元以下的罚款。
    未经水行政主管部门或者流域管理机构审查同意，擅自在江河、湖泊新建、改建或者扩大排污口的，由县级以上人民政府水行政主管部门或者流域管理机构依据职权，责令停止违法行为，限期恢复原状，处五万元以上十万元以下的罚款。
",11441900007330248L3440216063000,行政处罚,
106,东莞市水务局,对在水利工程管理范围内江河、水库水域内炸鱼、毒鱼、电鱼和排放污染物行为的处罚,"《广东省水利工程管理条例》第二十二条 在水利工程管理范围内禁止下列行为：
（一）兴建影响水利工程安全与正常运行的建筑物和其他设施；
（二）围库造地；
（三）爆破、打井、采石、取土、挖矿、葬坟以及在输水渠道或管道上决口、阻水、挖洞等危害水利工程安全的活动；
（四）倾倒土、石、矿渣、垃圾等废弃物；
（五）在江河、水库水域内炸鱼、毒鱼、电鱼和排放污染物；
（六）损毁、破坏水利工程设施及其附属设施和设备；
（七）在坝顶、堤顶、闸坝交通桥行驶履带拖拉机、硬轮车及超重车辆，在没有路面的坝顶、堤顶雨后行驶机动车辆；
（八）在堤坝、渠道上垦植、铲草、破坏或砍伐防护林；
（九）其他有碍水利工程安全运行的行为。
《广东省水利工程管理条例》第三十三条 违反本条例第二十二条第三至九项、第二十三条规定的，责令其停止违法行为，赔偿损失，采取补救措施，对造成严重危害后果的，可处五万元以下的罚款。涉及其他法律、法规规定的，由有关行政主管部门依法处罚。",11441900007330248L3440216064000,行政处罚,
107,东莞市水务局,对在水利工程管理范围内从事爆破、打井、采石、取土、挖矿、葬坟以及在输水渠道或管道上决口、阻水、挖洞等危害水利工程安全行为的处罚,"《广东省水利工程管理条例》第二十二条 在水利工程管理范围内禁止下列行为：
（一）兴建影响水利工程安全与正常运行的建筑物和其他设施；
（二）围库造地；
（三）爆破、打井、采石、取土、挖矿、葬坟以及在输水渠道或管道上决口、阻水、挖洞等危害水利工程安全的活动；
（四）倾倒土、石、矿渣、垃圾等废弃物；
（五）在江河、水库水域内炸鱼、毒鱼、电鱼和排放污染物；
（六）损毁、破坏水利工程设施及其附属设施和设备；
（七）在坝顶、堤顶、闸坝交通桥行驶履带拖拉机、硬轮车及超重车辆，在没有路面的坝顶、堤顶雨后行驶机动车辆；
（八）在堤坝、渠道上垦植、铲草、破坏或砍伐防护林；
（九）其他有碍水利工程安全运行的行为。
《广东省水利工程管理条例》第三十三条 违反本条例第二十二条第三至九项、第二十三条规定的，责令其停止违法行为，赔偿损失，采取补救措施，对造成严重危害后果的，可处五万元以下的罚款。涉及其他法律、法规规定的，由有关行政主管部门依法处罚。",11441900007330248L3440216065000,行政处罚,
108,东莞市水务局,对在水利工程管理范围内损毁、破坏水利工程设施及其附属设施和设备行为的处罚,"《广东省水利工程管理条例》第二十二条 在水利工程管理范围内禁止下列行为：
（一）兴建影响水利工程安全与正常运行的建筑物和其他设施；
（二）围库造地；
（三）爆破、打井、采石、取土、挖矿、葬坟以及在输水渠道或管道上决口、阻水、挖洞等危害水利工程安全的活动；
（四）倾倒土、石、矿渣、垃圾等废弃物；
（五）在江河、水库水域内炸鱼、毒鱼、电鱼和排放污染物；
（六）损毁、破坏水利工程设施及其附属设施和设备；
（七）在坝顶、堤顶、闸坝交通桥行驶履带拖拉机、硬轮车及超重车辆，在没有路面的坝顶、堤顶雨后行驶机动车辆；
（八）在堤坝、渠道上垦植、铲草、破坏或砍伐防护林；
（九）其他有碍水利工程安全运行的行为。
《广东省水利工程管理条例》第三十三条 违反本条例第二十二条第三至九项、第二十三条规定的，责令其停止违法行为，赔偿损失，采取补救措施，对造成严重危害后果的，可处五万元以下的罚款。涉及其他法律、法规规定的，由有关行政主管部门依法处罚。",11441900007330248L3440216066000,行政处罚,
109,东莞市水务局,对未经批准在水利工程管理范围内倾倒土、石、矿渣、垃圾等废弃物行为的处罚,"《广东省水土保持条例》第二十条生产建设单位应当综合利用生产建设活动中产生的砂、石、土、废渣等渣土，避免和减少水土流失；不能综合利用的，应当堆放在依法建设经营的消纳场或者符合本条例规定的专门存放地。
消纳场经营管理单位或者专门存放地建设单位应当采取符合水土保持技术规范、标准和本条例规定的水土保持措施，防止产生新的危害。
第二十一条下列区域不得设置消纳场或者专门存放地：
（一）饮用水水源保护区、自然保护区、地质公园、森林公园、湿地公园、泥石流易发区和崩塌、滑坡危险区；
（二）河道、湖泊和水利工程管理范围；
（三）危及铁路、公路等设施安全的区域；
（四）危及基础设施、公共设施、工矿企业、居民生活和防洪等安全
第四十条违反本条例第二十一条规定堆放渣土的，由县级以上人民政府水行政主管部门责令停止违法行为，限期清理，并按照堆放数量处每立方米十元以上二十元以下罚款；逾期不清理的，县级以上人民政府水行政主管部门可以指定有清理能力的单位代为清理，所需费用由违法行为人承担；造成损失的，依法承担赔偿责任。
",11441900007330248L3440216067000,行政处罚,
110,东莞市水务局,对在坝顶、堤顶、闸坝交通桥行驶履带拖拉机，硬轮车及超重车辆，在没有路面的坝顶、堤顶雨后行驶机动车辆行为的处罚,"《广东省水利工程管理条例》第二十二条 在水利工程管理范围内禁止下列行为：
（一）兴建影响水利工程安全与正常运行的建筑物和其他设施；
（二）围库造地；
（三）爆破、打井、采石、取土、挖矿、葬坟以及在输水渠道或管道上决口、阻水、挖洞等危害水利工程安全的活动；
（四）倾倒土、石、矿渣、垃圾等废弃物；
（五）在江河、水库水域内炸鱼、毒鱼、电鱼和排放污染物；
（六）损毁、破坏水利工程设施及其附属设施和设备；
（七）在坝顶、堤顶、闸坝交通桥行驶履带拖拉机、硬轮车及超重车辆，在没有路面的坝顶、堤顶雨后行驶机动车辆；
（八）在堤坝、渠道上垦植、铲草、破坏或砍伐防护林；
（九）其他有碍水利工程安全运行的行为。
《广东省水利工程管理条例》第三十三条 违反本条例第二十二条第三至九项、第二十三条规定的，责令其停止违法行为，赔偿损失，采取补救措施，对造成严重危害后果的，可处五万元以下的罚款。涉及其他法律、法规规定的，由有关行政主管部门依法处罚。",11441900007330248L3440216068000,行政处罚,
111,东莞市水务局,对在水利工程管理范围内其他有碍水利工程安全运行的行为的处罚,"　《广东省水利工程管理条例》第二十二条　在水利工程管理范围内禁止下列行为：
　　（一）兴建影响水利工程安全与正常运行的建筑物和其他设施；
　　（二）围库造地；
　　（三）爆破、打井、采石、取土、挖矿、葬坟以及在输水渠道或管道上决口、阻水、挖洞等危害水利工程安全的活动；
　　（四）倾倒土、石、矿渣、垃圾等废弃物；
　　（五）在江河、水库水域内炸鱼、毒鱼、电鱼和排放污染物；
　　（六）损毁、破坏水利工程设施及其附属设施和设备；
　　（七）在坝顶、堤顶、闸坝交通桥行驶履带拖拉机、硬轮车及超重车辆，在没有路面的坝顶、堤顶雨后行驶机动车辆；
　　（八）在堤坝、渠道上垦植、铲草、破坏或砍伐防护林；
　　（九）其他有碍水利工程安全运行的行为。

第三十五条　违反本条例第二十二条第（三）至（九）项、第二十三条规定的，责令其停止违法行为，赔偿损失，采取补救措施，对造成严重危害后果的，可处五万元以下的罚款。涉及其他法律、法规规定的，由有关行政主管部门依法处罚。
",11441900007330248L3440216069000,行政处罚,
112,东莞市水务局,对在堤坝、渠道上垦植、铲草、破坏或砍伐防护林行为的处罚,"《广东省水利工程管理条例》第二十二条 在水利工程管理范围内禁止下列行为：
（一）兴建影响水利工程安全与正常运行的建筑物和其他设施；
（二）围库造地；
（三）爆破、打井、采石、取土、挖矿、葬坟以及在输水渠道或管道上决口、阻水、挖洞等危害水利工程安全的活动；
（四）倾倒土、石、矿渣、垃圾等废弃物；
（五）在江河、水库水域内炸鱼、毒鱼、电鱼和排放污染物；
（六）损毁、破坏水利工程设施及其附属设施和设备；
（七）在坝顶、堤顶、闸坝交通桥行驶履带拖拉机、硬轮车及超重车辆，在没有路面的坝顶、堤顶雨后行驶机动车辆；
（八）在堤坝、渠道上垦植、铲草、破坏或砍伐防护林；
（九）其他有碍水利工程安全运行的行为。
《广东省水利工程管理条例》第三十三条 违反本条例第二十二条第三至九项、第二十三条规定的，责令其停止违法行为，赔偿损失，采取补救措施，对造成严重危害后果的，可处五万元以下的罚款。涉及其他法律、法规规定的，由有关行政主管部门依法处罚。",11441900007330248L3440216070000,行政处罚,
113,东莞市水务局,对擅自在河道、滩地、堤防或护堤地上修建工程设施行为的处罚,"《广东省河道堤防管理条例》第七条
凡在河道、滩地上修建工程设施的，不得影响河道行洪、排涝及上下游左右岸河道堤防安全，不得引起河势的不良变化，不得妨碍河道水文观测，不得危及水陆交通安全。
在河道、滩地上修建工程设施，必须提出设计方案报经当地河道堤防主管部门和交通行政主管部门同意后，按下列分级管理权限呈报审批：
一、工程设施涉及或影响的范围在本行政区域内的，由所在行政区域的河道堤防主管部门审批；
二、工程设施涉及或影响的范围跨行政区域的，由其上一级河道堤防主管部门审批；
三、在本省境内的西江、北江、东江、韩江及珠江三角洲主干河道、滩地上进行建设，由建设单位提出规划设计方案，报省水利部门审批；在珠江三角洲各出海口门进行滩涂开发，由开发利用单位提出规划设计方案，报省水利部门转报水利部流域管理机构审批。
未经批准，任何单位或个人不得填堵河道，或在河道、滩地上抛石筑坝和围垦；不得在堤防或护堤地上修建各类建筑物或其他工程设施。
经批准在河道管理范围内的工程建设项目和其他设施，建设单位或个人应当向河道堤防主管部门缴纳河道管理范围占用费。收费标准和办法，由省人民政府制定。

第十六条
凡违反本条例，妨碍河道堤防管理者，应根据不同情况，按下列规定处理：
一、擅自在河道、滩地、堤防或护堤地上修建工程设施，以及围垦和违反规定进行种植者，按“谁设障，谁清障”的原则，限期由原建单位或其所有者拆除清理。
二、在河道、滩地上倾倒矿渣、炉碴、煤灰、泥土、砖石、瓦砾、陶瓷碎片、垃圾的，限期由原倾倒单位或个人清除。
三、在河道、滩地上乱挖及乱堆土、砂、石料、煤炭等杂物，或在堤身及护堤地内取土、扒口、挖洞、埋葬、铲草皮、开沟，或在堤上行驶铁轮、木轮和重型车辆，以及擅自挖低堤顶通车等，造成堤防及河道护岸工程损毁的，应由造成损毁的单位或个人负责修复，并赔偿由此而造成的损失。
四、船舶在限制航速的河段超速行驶，应对船舶负责人和直接责任人予以罚款或行政处分；造成河道两岸堤防及护岸工程损毁者，还应根据其损毁程度和应负的责任，令其部分或全部赔偿修复工程的费用和所造成的损失。
五、擅自启闭防洪防潮堤上涵闸的闸门，挪用、盗窃防汛抢险物资器材，损毁防汛站仓、通讯、照明、观测设备和各种测量标志等防汛管理设施的，应根据损失程度，令其赔偿外，还应根据情节轻重，分别给予罚款，行政处分，直至依法追究刑事责任。
上述各项，除责令当事人负责拆除、清理、修复（或负责该项费用）和赔偿损失外，可以根据情节轻重，没收其非法所得，并处以一千元以上一万元以下罚款。",11441900007330248L3440216071000,行政处罚,
114,东莞市水务局,对在河道、滩地上倾倒矿渣、炉渣、煤灰、泥土、砖石、瓦砾、陶瓷碎片、垃圾行为的处罚,"广东省河道堤防管理条例（2012修正）
效力级别：省地方性法规文号：广东省第十一届人民代表大会常务委员会公告第1号时效性：失效颁布机关：广东省人民代表大会常务委员会",11441900007330248L3440216072000,行政处罚,
115,东莞市水务局,对在河道、滩地上乱挖及乱堆土、砂、石料、煤炭等杂物，或在堤身及护堤地内取土、扒口、挖洞、埋葬、铲草皮、开沟，或在堤上行驶铁轮、木轮和重型车辆，以及擅自挖低堤顶通车等，造成堤防及河道护岸工程损毁行为的处罚,"广东省河道堤防管理条例（2012修正）
效力级别：省地方性法规文号：广东省第十一届人民代表大会常务委员会公告第1号时效性：失效颁布机关：广东省人民代表大会常务委员会",11441900007330248L3440216073000,行政处罚,
116,东莞市水务局,对船舶在限制航速的河段超速行使，造成河道两岸堤防及护岸工程损毁行为的处罚,"广东省河道堤防管理条例（2012修正）
效力级别：省地方性法规文号：广东省第十一届人民代表大会常务委员会公告第1号时效性：失效颁布机关：广东省人民代表大会常务委员会",11441900007330248L3440216074000,行政处罚,
117,东莞市水务局,对擅自进入省管水利枢纽封闭管理区域或者非法干扰省管水利枢纽管理工作行为的处罚,"《广东省省管水利枢纽管理办法》第十二条 省管水利枢纽工程的大坝、电厂、船闸等重要工作区域实行封闭管理，由枢纽管理单位商所在地县级以上人民政府确定后，由县级以上人民政府公告。
未经枢纽管理单位同意，不得擅自进入封闭管理区域，不得非法干扰枢纽管理工作。
《广东省省管水利枢纽管理办法》第二十三条 违反本办法第十二条规定，擅自进入省管水利枢纽封闭管理区域或者非法干扰省管水利枢纽管理工作的，由县级以上人民政府水行政主管部门责令改正，给予警告；拒不改正的，对公民可处以100元以上500元以下罚款，对法人和其他组织可处以2000元以上10000元以下罚款；造成破坏或者其他严重损失的，应当进行修复或者赔偿。",11441900007330248L3440216075000,行政处罚,
118,东莞市水务局,对擅自拆除、覆盖、移动、涂改或损坏东深供水工程的永久性识别标志和地理界标行为的处罚,"《广东省东深供水工程管理办法》第十一条 东深供水工程管理单位应当在东深供水工程管理和保护范围边界设置永久性识别标志。
深圳市、东莞市人民政府应当在东深供水工程饮用水水源保护区的边界设立明确的地理界标和明显的警示标志。
《广东省东深供水工程管理办法》在公路、公路建筑控制区内埋设识别标志和地理界标的，应当经公路管理机关批准。
任何单位和个人不得擅自拆除、覆盖、移动、涂改或损坏永久性识别标志和地理界标。
第二十五条 违反本办法第十一条第四款规定的，由县级以上水行政主管部门责令停止违法行为，恢复原状或者赔偿损失，并对公民处以100元以下罚款，对法人和其他组织处以2000元以下罚款。",11441900007330248L3440216079000,行政处罚,
119,东莞市水务局,对在东深供水工程管理范围内，擅自启闭供水工程的闸门、阀门或者其他设施、设备，或在工程设施覆盖面上行驶履带式车辆、超重车辆以及大量堆放建筑材料或者危险物品行为的处罚,"《广东省东深供水工程管理办法》第十三条 在东深供水工程管理范围内，禁止擅自启闭供水工程的闸门、阀门或者其他设施、设备，禁止在工程设施覆盖面上行驶履带式车辆、超重车辆以及大量堆放建筑材料或者危险物品。
在东深供水工程保护范围内，禁止从事危及水利工程安全及污染水质的爆破、采石、取土、强夯以及生产、储存危险物品等活动，禁止在高压线下钓鱼、违章搭建、高空吊装作业，禁止从事危及高压线路、通讯线路及相关设施安全的其他活动。
在东深供水工程管理范围和保护范围内，应当遵守《中华人民共和国水法》、《广东省水利工程管理条例》等法律、法规的禁止性规定。
《广东省东深供水工程管理办法》第二十六条 违反本办法第十三条第一款、第二款规定的，由县级以上水行政主管部门责令停止违法行为，恢复原状或者赔偿损失，并处2000元以上10000元以下罚款；情节严重的，并处10000元以上50000元以下罚款。",11441900007330248L3440216080000,行政处罚,
120,东莞市水务局,在东深供水工程保护范围内，从事危及水利工程安全及污染水质的爆破、采石、取土、强夯以及生产、储存危险物品等活动，禁止在高压线下钓鱼、违章搭建、高空吊装作业，或从事危及高压线路、通讯线路及相关设施安全的其他活动,"《广东省东深供水工程管理办法》第十三条 在东深供水工程管理范围内，禁止擅自启闭供水工程的闸门、阀门或者其他设施、设备，禁止在工程设施覆盖面上行驶履带式车辆、超重车辆以及大量堆放建筑材料或者危险物品。
在东深供水工程保护范围内，禁止从事危及水利工程安全及污染水质的爆破、采石、取土、强夯以及生产、储存危险物品等活动，禁止在高压线下钓鱼、违章搭建、高空吊装作业，禁止从事危及高压线路、通讯线路及相关设施安全的其他活动。
在东深供水工程管理范围和保护范围内，应当遵守《中华人民共和国水法》、《广东省水利工程管理条例》等法律、法规的禁止性规定。
《广东省东深供水工程管理办法》第二十六条 违反本办法第十三条第一款、第二款规定的，由县级以上水行政主管部门责令停止违法行为，恢复原状或者赔偿损失，并处2000元以上10000元以下罚款；情节严重的，并处10000元以上50000元以下罚款。",11441900007330248L3440216081000,行政处罚,
121,东莞市水务局,对未经批准或者未办理延期手续建设临时设施、堆放物品以及临时占用期满后不恢复原状行为的处罚,"《广东省实施<中华人民共和国水法>办法》第四十四条 在河道管理范围内建设临时设施或者堆放物品的，应当服从防洪、供水和水工程安全的需要，并经县级以上人民政府水行政主管部门批准。
临时占用的期限不得超过两年；确需继续占用的，应当在期限届满前三十日内申请办理延期手续，延期时间不得超过一年。
临时占用期满，建设单位或者实际占用人应当拆除临时设施，清除堆放物品，恢复原状。
《广东省实施<中华人民共和国水法>办法》第六十二条 违反本办法第四十三条、第四十四条规定，有下列行为之一的，由县级以上人民政府水行政主管部门责令停止违法行为，限期补办有关手续；逾期不补办或者补办未被批准的，责令限期拆除违法建筑物、构筑物；逾期不拆除的，由县级以上人民政府水行政主管部门依法强制拆除，所需费用由违法行为单位和个人承担，并处二万元以上十万元以下罚款：
（一）未经批准在河道管理范围内新建、改建、扩建工程设施的；
（二）未申请办理延期手续而开工建设的；
（三）未经批准或者未办理延期手续建设临时设施、堆放物品以及临时占用期满后不恢复原状的。",11441900007330248L3440216082000,行政处罚,
122,东莞市水务局,对小水电站违反经批准的最小下泄流量或者超标准运行行为的处罚,"《广东省小水电管理办法》第二十条 小水电站应当服从县级以上人民政府水行政主管部门和省流域管理机构对水资源的统一配置，确保经批准的满足生态和航运要求的最小下泄流量。
小水电站不得超设计标准运行。涉及上下游及左右岸他人利益的，应当征得相关利害关系人的同意。
《广东省小水电管理办法》第三十四条 小水电站违反经批准的最小下泄流量或者超标准运行的，由县级以上人民政府水行政主管部门责令其改正，并处10000元以上30000元以下罚款。",11441900007330248L3440216094000,行政处罚,
